delitopenal;comunidad;year;valor;variacioninteranual
    1. Homicidios dolosos y asesinatos consumados;ANDALUCÍA;2022;74;-9,76%
    1. Homicidios dolosos y asesinatos consumados;ANDALUCÍA;2019;82;49,09%
    1. Homicidios dolosos y asesinatos consumados;ANDALUCÍA;2021;55;-8,33%
    1. Homicidios dolosos y asesinatos consumados;ANDALUCÍA;2020;60;-16,67%
    1. Homicidios dolosos y asesinatos consumados;ANDALUCÍA;2018;72;46,94%
    1. Homicidios dolosos y asesinatos consumados;ANDALUCÍA;2017;49;sin datos
    1. Homicidios dolosos y asesinatos consumados;ARAGÓN;2022;10;66,67%
    1. Homicidios dolosos y asesinatos consumados;ARAGÓN;2019;6;20,00%
    1. Homicidios dolosos y asesinatos consumados;ARAGÓN;2021;5;25,00%
    1. Homicidios dolosos y asesinatos consumados;ARAGÓN;2020;4;-55,56%
    1. Homicidios dolosos y asesinatos consumados;ARAGÓN;2018;9;12,50%
    1. Homicidios dolosos y asesinatos consumados;ARAGÓN;2017;8;sin datos
    1. Homicidios dolosos y asesinatos consumados;ASTURIAS (PRINCIPADO DE);2022;6;-14,29%
    1. Homicidios dolosos y asesinatos consumados;ASTURIAS (PRINCIPADO DE);2019;7;600,00%
    1. Homicidios dolosos y asesinatos consumados;ASTURIAS (PRINCIPADO DE);2021;1;-80,00%
    1. Homicidios dolosos y asesinatos consumados;ASTURIAS (PRINCIPADO DE);2020;5;-28,57%
    1. Homicidios dolosos y asesinatos consumados;ASTURIAS (PRINCIPADO DE);2018;7;40,00%
    1. Homicidios dolosos y asesinatos consumados;ASTURIAS (PRINCIPADO DE);2017;5;sin datos
    1. Homicidios dolosos y asesinatos consumados;BALEARS (ILLES);2022;3;-50,00%
    1. Homicidios dolosos y asesinatos consumados;BALEARS (ILLES);2019;6;0,00%
    1. Homicidios dolosos y asesinatos consumados;BALEARS (ILLES);2021;6;-14,29%
    1. Homicidios dolosos y asesinatos consumados;BALEARS (ILLES);2020;7;-12,50%
    1. Homicidios dolosos y asesinatos consumados;BALEARS (ILLES);2018;8;100,00%
    1. Homicidios dolosos y asesinatos consumados;BALEARS (ILLES);2017;4;sin datos
    1. Homicidios dolosos y asesinatos consumados;CANARIAS;2022;14;-30,00%
    1. Homicidios dolosos y asesinatos consumados;CANARIAS;2019;20;25,00%
    1. Homicidios dolosos y asesinatos consumados;CANARIAS;2021;16;33,33%
    1. Homicidios dolosos y asesinatos consumados;CANARIAS;2020;12;-50,00%
    1. Homicidios dolosos y asesinatos consumados;CANARIAS;2018;24;20,00%
    1. Homicidios dolosos y asesinatos consumados;CANARIAS;2017;20;sin datos
    1. Homicidios dolosos y asesinatos consumados;CANTABRIA;2022;1;-83,33%
    1. Homicidios dolosos y asesinatos consumados;CANTABRIA;2019;6;50,00%
    1. Homicidios dolosos y asesinatos consumados;CANTABRIA;2021;4;300,00%
    1. Homicidios dolosos y asesinatos consumados;CANTABRIA;2020;1;-50,00%
    1. Homicidios dolosos y asesinatos consumados;CANTABRIA;2018;2;-33,33%
    1. Homicidios dolosos y asesinatos consumados;CANTABRIA;2017;3;sin datos
    1. Homicidios dolosos y asesinatos consumados;CASTILLA - LA MANCHA;2022;18;63,64%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA - LA MANCHA;2019;11;10,00%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA - LA MANCHA;2021;10;-41,18%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA - LA MANCHA;2020;17;112,50%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA - LA MANCHA;2018;8;-33,33%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA - LA MANCHA;2017;12;sin datos
    1. Homicidios dolosos y asesinatos consumados;CASTILLA Y LEÓN;2022;16;100,00%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA Y LEÓN;2019;8;-38,46%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA Y LEÓN;2021;13;-18,75%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA Y LEÓN;2020;16;45,45%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA Y LEÓN;2018;11;-15,38%
    1. Homicidios dolosos y asesinatos consumados;CASTILLA Y LEÓN;2017;13;sin datos
    1. Homicidios dolosos y asesinatos consumados;CATALUÑA;2022;62;6,90%
    1. Homicidios dolosos y asesinatos consumados;CATALUÑA;2019;58;1,75%
    1. Homicidios dolosos y asesinatos consumados;CATALUÑA;2021;57;18,75%
    1. Homicidios dolosos y asesinatos consumados;CATALUÑA;2020;48;6,67%
    1. Homicidios dolosos y asesinatos consumados;CATALUÑA;2018;45;-30,77%
    1. Homicidios dolosos y asesinatos consumados;CATALUÑA;2017;65;sin datos
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE CEUTA;2022;4;0,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE CEUTA;2019;4;100,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE CEUTA;2021;2;0,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE CEUTA;2020;2;100,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE CEUTA;2018;1;0,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE CEUTA;2017;1;sin datos
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE MELILLA;2022;2;100,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE MELILLA;2019;1;100,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE MELILLA;2021;0;0,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE MELILLA;2020;0;0,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE MELILLA;2018;0;0,00%
    1. Homicidios dolosos y asesinatos consumados;CIUDAD AUTÓNOMA DE MELILLA;2017;0;sin datos
    1. Homicidios dolosos y asesinatos consumados;COMUNITAT VALENCIANA;2022;37;-7,50%
